,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,panel_type_IPS,DisplayType,IsTouchscreen,Resolution_Width,Resolution_Height,CPU_brand,CPU_series_model_gen_type,CPU_speed,Memory_Capacity,Type,Total_Memory_Capacity_GB,GPU_Brand,GPU_series,GPU_model_no
0,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,128GB SSD,Intel Iris Plus Graphics 640,macOS,1.37kg,71378.6832,1.0,Retina Display,0.0,2560.0,1600.0,Intel,Core i5,2.3GHz,128GB,SSD,128.0,Intel,Iris Plus Graphics,640
1,Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,128GB Flash Storage,Intel HD Graphics 6000,macOS,1.34kg,47895.5232,0.0,,0.0,1440.0,900.0,Intel,Core i5,1.8GHz,128GB,Flash Storage,128.0,Intel,Hd Graphics,6000
2,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,No OS,1.86kg,30636.0,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 7200U,2.5GHz,256GB,SSD,256.0,Intel,Hd Graphics,620
3,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16GB,512GB SSD,AMD Radeon Pro 455,macOS,1.83kg,135195.336,1.0,Retina Display,0.0,2880.0,1800.0,Intel,Core i7,2.7GHz,512GB,SSD,512.0,Amd,Radeon Pro,455
4,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8GB,256GB SSD,Intel Iris Plus Graphics 650,macOS,1.37kg,96095.808,1.0,Retina Display,0.0,2560.0,1600.0,Intel,Core i5,3.1GHz,256GB,SSD,256.0,Intel,Iris Plus Graphics,650
5,Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,500GB HDD,AMD Radeon R5,Windows 10,2.1kg,21312.0,0.0,,0.0,1366.0,768.0,Amd,A9-Series 9420,3GHz,500GB,HDD,500.0,Amd,Radeon,R5
6,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16GB,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS X,2.04kg,114017.6016,1.0,Retina Display,0.0,2880.0,1800.0,Intel,Core i7,2.2GHz,256GB,Flash Storage,256.0,Intel,Iris Pro Graphics,
7,Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,256GB Flash Storage,Intel HD Graphics 6000,macOS,1.34kg,61735.536,0.0,,0.0,1440.0,900.0,Intel,Core i5,1.8GHz,256GB,Flash Storage,256.0,Intel,Hd Graphics,6000
8,Asus,Ultrabook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Nvidia GeForce MX150,Windows 10,1.3kg,79653.6,0.0,Full HD,0.0,1920.0,1080.0,Intel,Core i7 8550U,1.8GHz,512GB,SSD,512.0,Nvidia,Geforce,MX150
9,Acer,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6kg,41025.6,1.0,Full HD,0.0,1920.0,1080.0,Intel,Core i5 8250U,1.6GHz,256GB,SSD,256.0,Intel,Uhd Graphics,620
